policy,timestep,sensitivity_weighted_tile_error,mean_assigned_noise_std,sensitivity_weighted_mean_assigned_noise_std,capacity_utilization,shards_on_faulted_tiles,shards_on_unavailable_tiles,projections_on_faulted_tiles,projections_on_unavailable_tiles,placement_feasible,service_failure,available_capacity_utilization
random,92,57.47002409520052,0.026613446664611396,0.025983128819712382,0.857421875,53,0,23,0,True,False,0.857421875
random,93,57.46856043536533,0.026625791562609753,0.025984649283938715,0.857421875,53,0,23,0,True,False,0.857421875
random,94,57.71336302787752,0.026698075022574777,0.026057150574707453,0.857421875,53,0,23,0,True,False,0.857421875
random,95,58.387311555321276,0.026873100651831155,0.0262088532280966,0.857421875,53,0,23,0,True,False,0.857421875
random,96,57.904894340561235,0.02673100475566945,0.02609574184759485,0.857421875,53,0,23,0,True,False,0.857421875
random,97,57.799152370471305,0.026732047211355196,0.026080362169623214,0.857421875,53,0,23,0,True,False,0.857421875
random,98,58.18221316982496,0.02680704006334911,0.026179546289630738,0.857421875,53,0,23,0,True,False,0.857421875
random,99,58.29051246585426,0.026779971977449284,0.02620982990861964,0.857421875,53,0,23,0,True,False,0.857421875
random,100,58.45011135993331,0.02679113008433097,0.026246363351952046,0.857421875,53,0,23,0,True,False,0.857421875
random,101,58.846296884566605,0.026875894838339177,0.026352350745015695,0.857421875,53,0,23,0,True,False,0.857421875
random,102,57.91812964558545,0.026719649052015668,0.02612528354520308,0.857421875,53,0,23,0,True,False,0.857421875
random,103,58.22750108049861,0.026791405803986455,0.026205642406744972,0.857421875,53,0,23,0,True,False,0.857421875
random,104,58.351802859149856,0.026824402428016775,0.026237966085998037,0.857421875,53,0,23,0,True,False,0.857421875
random,105,59.1191373784772,0.026843595975872526,0.026412153596230056,0.857421875,53,0,23,0,True,False,0.857421875
random,106,59.01144308662339,0.026881779130556286,0.02638798780985432,0.857421875,53,0,23,0,True,False,0.857421875
random,107,58.868995985000176,0.02688505781668957,0.02636948902827441,0.857421875,53,0,23,0,True,False,0.857421875
random,108,58.68259082702424,0.026916281386283755,0.026327942901920632,0.857421875,53,0,23,0,True,False,0.857421875
random,109,58.26853845755424,0.026863295108074826,0.026220483187882556,0.857421875,53,0,23,0,True,False,0.857421875
random,110,57.94568075730755,0.02682436854078191,0.026135510001860467,0.857421875,53,0,23,0,True,False,0.857421875
random,111,58.08123022232099,0.026829651926575066,0.026176948574503502,0.857421875,53,0,23,0,True,False,0.857421875
random,112,58.59478032100874,0.026944828267244543,0.02627869022472098,0.857421875,53,0,23,0,True,False,0.857421875
random,113,58.728998373251926,0.026938369932062535,0.02631404747990105,0.857421875,53,0,23,0,True,False,0.857421875
random,114,58.76122992053393,0.02695162066128061,0.026304089735959137,0.857421875,53,0,23,0,True,False,0.857421875
random,115,59.37322252060584,0.027002074369942543,0.026413241440586377,0.857421875,53,0,23,0,True,False,0.857421875
random,116,59.30650911677534,0.026992547930789385,0.026399995742517095,0.857421875,53,0,23,0,True,False,0.857421875
random,117,59.25770904107456,0.027108132362223602,0.026378242980779818,0.857421875,53,0,23,0,True,False,0.857421875
random,118,59.401799833654,0.02716013910240198,0.02640846708140751,0.857421875,53,0,23,0,True,False,0.857421875
random,119,59.21120455881787,0.027181178500483218,0.02638575619303069,0.857421875,53,0,23,0,True,False,0.857421875
sequential,0,45.56322673259582,0.02392137616560938,0.023736118983086207,0.857421875,0,0,0,0,True,False,0.857421875
sequential,1,45.99448857202237,0.024044998242093513,0.023839160497668727,0.857421875,0,0,0,0,True,False,0.857421875
sequential,2,46.3848699850873,0.024144012122859097,0.02393297266402544,0.857421875,0,0,0,0,True,False,0.857421875
sequential,3,47.13618672689221,0.024324885930769168,0.024130605827335734,0.857421875,0,0,0,0,True,False,0.857421875
