policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
random,90,57.52383842127132,57.52383842127132,57.52383842127132,0.027332945151356116,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,91,58.41674680945789,58.41674680945789,58.41674680945789,0.0275360816607924,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,92,58.72436449755249,58.72436449755249,58.72436449755249,0.027676981565746623,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,93,58.10265100198204,58.10265100198204,58.10265100198204,0.02753843987305485,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,94,58.7663618831404,58.7663618831404,58.7663618831404,0.02762523527027708,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,95,59.6869336489817,59.6869336489817,59.6869336489817,0.027742959086900613,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,96,60.46057720229422,60.46057720229422,60.46057720229422,0.027816658410726756,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,97,60.81893957808103,60.81893957808103,60.81893957808103,0.02774311566799369,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,98,61.28345554550561,61.28345554550561,61.28345554550561,0.027865347495603307,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,99,63.40751286593713,63.40751286593713,63.40751286593713,0.02831890304063882,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,100,63.584091823414944,63.584091823414944,63.584091823414944,0.028389525310965544,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,101,64.15723531953769,64.15723531953769,64.15723531953769,0.028465545568894808,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,102,64.19038770957572,64.19038770957572,64.19038770957572,0.028399296235705244,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,103,62.926260689615916,62.926260689615916,62.926260689615916,0.028271395855667018,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,104,63.1441418459731,63.1441418459731,63.1441418459731,0.028369402063546885,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,105,62.93391089995807,62.93391089995807,62.93391089995807,0.028435621648688087,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,106,62.80843379985815,62.80843379985815,62.80843379985815,0.02846279681299616,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,107,63.47597257713149,63.47597257713149,63.47597257713149,0.028624727392630358,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,108,63.627081838986854,63.627081838986854,63.627081838986854,0.028685216313330177,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,109,63.84707225329985,63.84707225329985,63.84707225329985,0.028643884161442076,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,110,64.20706445122903,64.20706445122903,64.20706445122903,0.028740775081700164,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,111,64.43698011793009,64.43698011793009,64.43698011793009,0.02863315714100331,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,112,66.51824013415852,66.51824013415852,66.51824013415852,0.02902382818401607,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,113,66.20868921398184,66.20868921398184,66.20868921398184,0.029038686395020833,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,114,65.92565012393142,65.92565012393142,65.92565012393142,0.029039057894868523,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,115,65.9258656838253,65.9258656838253,65.9258656838253,0.028974766269558676,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,116,65.4914103024901,65.4914103024901,65.4914103024901,0.028905097611487542,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,117,65.79036661377339,65.79036661377339,65.79036661377339,0.028980754993551575,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,118,66.0613122748175,66.0613122748175,66.0613122748175,0.02896493551868801,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,119,66.67516301966778,66.67516301966778,66.67516301966778,0.0291224593866954,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
sequential,0,50.01194040140767,50.01194040140767,50.01194040140767,0.024451193637519845,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
