policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance,utilization,trace_seed,placement_seed
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c2,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,2,0,512,1024,1536,71,5,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c3,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,3,0,512,1536,2048,46,5,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c4,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,4,0,512,2048,2560,37,3,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c5,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,5,0,512,2560,3072,60,3,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c0,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,0,512,768,0,512,24,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,1,512,768,512,1024,43,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c2,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,2,512,768,1024,1536,67,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c3,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,3,512,768,1536,2048,41,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c4,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,4,512,768,2048,2560,38,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c5,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,5,512,768,2560,3072,14,3,1,256,512,131072,2359296,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194,0.5,42,42
static_sensitivity,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r0c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,0,0,0,512,0,512,17,6,1,512,512,262144,2359296,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r0c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,0,1,0,512,512,768,23,6,1,512,256,131072,2359296,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906,0.5,42,42
